@relation 'alunos almoco sem feriados - teste-weka.filters.unsupervised.attribute.Remove-R1'

@attribute Temperatura numeric
@attribute Precipitação numeric
@attribute Segunda numeric
@attribute Terça numeric
@attribute Quarta numeric
@attribute Quinta numeric
@attribute Sexta numeric
@attribute Primavera numeric
@attribute Verao numeric
@attribute Outono numeric
@attribute Inverno numeric
@attribute 'Distancia Data Posterior' numeric
@attribute 'Distancia Data Anterior' numeric
@attribute 'Vendas 1d anterior' numeric
@attribute 'Vendas 2d anterior' numeric
@attribute 'Vendas 3d anterior' numeric
@attribute 'Vendas 4d anterior' numeric
@attribute 'Vendas 5d anterior' numeric
@attribute 'TOTAL VENDIDO ALMOCO' numeric

@data
29.5,67.75,0,0,0,0,1,0,0,1,0,3,1,532,457,335,512,481,344
29,73.5,0,0,0,1,0,0,0,1,0,1,1,457,335,512,481,533,532
27.5,72.75,0,0,1,0,0,0,0,1,0,1,5,335,512,481,533,460,457
28.6,72.5,0,0,0,0,1,0,0,1,0,5,1,512,481,533,460,320,335
27.8,75.25,0,0,0,1,0,0,0,1,0,1,1,481,533,460,320,526,512
28.2,70.75,0,0,1,0,0,0,0,1,0,1,1,533,460,320,526,488,481
27,68.75,0,1,0,0,0,0,0,1,0,1,1,460,320,526,488,547,533
26.7,72.5,1,0,0,0,0,0,0,1,0,1,3,320,526,488,547,448,460
25.8,58.5,0,0,0,0,1,0,0,1,0,3,1,526,488,547,448,349,320
26.2,62.75,0,0,0,1,0,0,0,1,0,1,1,488,547,448,349,532,526
25.1,64,0,0,1,0,0,0,0,1,0,1,1,547,448,349,532,491,488
23.3,75.25,0,1,0,0,0,0,0,1,0,1,1,448,349,532,491,572,547
21.2,84.5,1,0,0,0,0,0,0,1,0,1,3,349,532,491,572,443,448
29.8,65.25,0,0,0,0,1,0,0,1,0,3,1,532,491,572,443,398,349
28.2,72.25,0,0,0,1,0,0,0,1,0,1,1,491,572,443,398,568,532
27.7,69,0,0,1,0,0,0,0,1,0,1,1,572,443,398,568,465,491
28.2,68.25,0,1,0,0,0,0,0,1,0,1,1,443,398,568,465,551,572
27.8,74.25,1,0,0,0,0,0,0,1,0,1,3,398,568,465,551,486,443
27.2,72,0,0,0,0,1,0,0,1,0,3,1,568,465,551,486,424,398
27.8,74.25,0,0,0,1,0,0,0,1,0,1,1,465,551,486,424,398,568
26.8,79,0,0,1,0,0,0,0,1,0,1,1,551,486,424,398,520,465
26.3,81.5,0,1,0,0,0,0,0,1,0,1,1,486,424,398,520,463,551
26,77.5,1,0,0,0,0,0,0,1,0,1,4,424,398,520,463,389,486
28.5,77.75,0,0,0,1,0,0,0,1,0,4,1,398,520,463,389,525,424
28.2,83,0,0,1,0,0,0,0,1,0,1,1,520,463,389,525,490,398
28.6,86,0,1,0,0,0,0,0,1,0,1,1,463,389,525,490,553,520
28.2,81.75,1,0,0,0,0,0,0,1,0,1,3,389,525,490,553,340,463
