Data,Temperatura,Precipitacao,Segunda,Terca,Quarta,Quinta,Sexta,Primavera,Verao,Outono,Inverno,Distancia Data Posterior,Distancia Data Anterior,Vendas 1d anterior,Vendas 2d anterior,Vendas 3d anterior,Vendas 4d anterior,Vendas 5d anterior,Total
28/03/2018,28.2,83,0,0,1,0,0,0,0,1,0,1,1,520,463,389,525,490,398
27/03/2018,28.6,86,0,1,0,0,0,0,0,1,0,1,1,463,389,525,490,553,520
26/03/2018,28.2,81.75,1,0,0,0,0,0,0,1,0,1,3,389,525,490,553,340,463
23/03/2018,30,75.25,0,0,0,0,1,0,0,1,0,3,1,525,490,553,340,544,389
22/03/2018,26.4,80.5,0,0,0,1,0,0,0,1,0,1,1,490,553,340,544,500,525
21/03/2018,27,79.25,0,0,1,0,0,0,0,1,0,1,1,553,340,544,500,548,490
20/03/2018,31,79.25,0,1,0,0,0,0,0,1,0,1,4,340,544,500,548,413,553
16/03/2018,30.5,72.5,0,0,0,0,1,0,1,0,0,4,1,544,500,548,413,378,340
15/03/2018,31,66,0,0,0,1,0,0,1,0,0,1,1,500,548,413,378,514,544
14/03/2018,33.6,72.5,0,0,1,0,0,0,1,0,0,1,1,548,413,378,514,502,500
13/03/2018,29.3,81.5,0,1,0,0,0,0,1,0,0,1,1,413,378,514,502,502,548
12/03/2018,31.2,76.75,1,0,0,0,0,0,1,0,0,1,3,378,514,502,502,430,413
09/03/2018,26.8,77.25,0,0,0,0,1,0,1,0,0,3,1,514,502,502,430,308,378
08/03/2018,23.8,86.5,0,0,0,1,0,0,1,0,0,1,1,502,502,430,308,461,514
07/03/2018,30,84.25,0,0,1,0,0,0,1,0,0,1,1,502,430,308,461,443,502
06/03/2018,29.8,81,0,1,0,0,0,0,1,0,0,1,1,430,308,461,443,470,502
05/03/2018,31.2,77.5,1,0,0,0,0,0,1,0,0,1,3,308,461,443,470,446,430
02/03/2018,31.4,83.75,0,0,0,0,1,0,1,0,0,3,1,461,443,470,446,42,308
01/03/2018,30.6,80.25,0,0,0,1,0,0,1,0,0,1,1,443,470,446,42,70,461
28/02/2018,30.3,77,0,0,1,0,0,0,1,0,0,1,1,470,446,42,70,64,443
27/02/2018,28.5,84,0,1,0,0,0,0,1,0,0,1,1,446,42,70,64,101,470
26/02/2018,27.2,88,1,0,0,0,0,0,1,0,0,1,69,42,70,64,101,178,446
