--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2017 a 31/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83781;30/11/2017;0000;24.3;72.75;
83781;01/12/2017;0000;25.2;79;
83781;02/12/2017;0000;25.4;77.5;
83781;03/12/2017;0000;28.5;77.25;
83781;04/12/2017;0000;30.7;76.25;
83781;05/12/2017;0000;28.2;71.25;
83781;06/12/2017;0000;29.2;74.25;
83781;07/12/2017;0000;27.3;79.75;
83781;08/12/2017;0000;28.2;90.75;
83781;09/12/2017;0000;27.4;73.75;
83781;10/12/2017;0000;30.2;68.5;
83781;11/12/2017;0000;30.8;74.5;
83781;12/12/2017;0000;21.1;80.25;
83781;13/12/2017;0000;27.1;74.5;
83781;14/12/2017;0000;31.6;56.5;
83781;15/12/2017;0000;31.9;67.5;
83781;16/12/2017;0000;31.3;60.5;
83781;17/12/2017;0000;32.8;52.25;
83781;18/12/2017;0000;29.2;74.25;
83781;19/12/2017;0000;29.9;77.25;
83781;20/12/2017;0000;30.4;78.5;
83781;21/12/2017;0000;21.5;88.5;
83781;22/12/2017;0000;23;85.5;
83781;23/12/2017;0000;28.6;68.5;
83781;24/12/2017;0000;28.1;66.75;
83781;25/12/2017;0000;28.5;88.25;
83781;26/12/2017;0000;28.7;86.5;
83781;27/12/2017;0000;29.7;78.5;
83781;28/12/2017;0000;26.4;79;
83781;29/12/2017;0000;24.4;87;
83781;30/12/2017;0000;25.2;84.25;
83781;31/12/2017;0000;25.4;81.75;
83781;01/01/2018;0000;29.2;72.75;
83781;02/01/2018;0000;28.1;78.5;
83781;03/01/2018;0000;25.9;87.5;
83781;04/01/2018;0000;28.5;52.25;
83781;05/01/2018;0000;29.4;72.25;
83781;06/01/2018;0000;27.9;76.75;
83781;07/01/2018;0000;20.3;89.25;
83781;08/01/2018;0000;21.4;93.25;
83781;09/01/2018;0000;25.5;83;
83781;10/01/2018;0000;29;78.75;
83781;11/01/2018;0000;30.2;72.5;
